title,rating,genre,cleaned_tokens
JUNG_E,61.0,"'Science Fiction', 'Action', 'Adventure'",uninhabitable century earth outcome civil war hinge clone brain elite soldier create robot mercenary
Medieval,72.0,"'History', 'Action', 'Drama'",story the century czech icon warlord jan pizza defeat army teutonic order holy roman empire
Top Gun: Maverick,83.0,"'Action', 'Drama'",thirty year service one navy top aviator dodge advancement rank would grind pete maverick mitchell find train detachment top gun graduate specialize mission like live pilot ever see
All Quiet on the Western Front,78.0,"'War', 'Drama', 'Action'",paul bauer friend albert muller egg romantic dream heroism voluntarily enlist german army full excitement patriotic fervour boy enthusiastically march war believe western front discover horror world war
One Way,67.0,"'Action', 'Crime', 'Thriller'",run bag full cash rob former crime bossing potentially fatal slip onto bus head unrelenting california desert life slip finger freddy leave choice survive
La novia de América,0.0,"'Comedy', 'Romance'",dont overview translate english help u expand database add one
Puss in Boots,65.0,"'Action', 'Animation', 'Adventure', 'Comedy', 'Family', 'Western'",long even meet shrek notorious fighter lover outlaw pus boot become hero set adventure tough street smart kitty southpaws mastermind humpty dumpty save town true story cat myth legend boot
Night at the Museum: Kahmunrah Rises Again,70.0,"'Animation', 'Comedy', 'Family', 'Fantasy'",nick dale follow father footstep night watchman american museum natural history know happen sun go maniacal ruler escape nick save museum
Jurassic World Dominion,69.0,"'Adventure', 'Action', 'Science Fiction'",four year destruction isla nuclear biopsy operative attempt track raise lockwood do ellie rattler investigate genetically engineer swarm giant insect
Spider-Man: No Way Home,80.0,"'Action', 'Adventure', 'Science Fiction'",peter parker unmask longer able separate normal life superhero ask help doctor strange stake become even dangerous force discover truly mean spiderman
Prey,78.0,"'Thriller', 'Action', 'Science Fiction'",danger threaten camp fierce highly skilled comanche warrior naru set protect people prey stalk turn highly evolve alien predator technically advance arsenal
Bullet Train,75.0,"'Action', 'Comedy', 'Thriller'",unlucky assassin ladybug determine job peacefully one many gig go rail fate however may plan ladybugs late mission put collision course lethal adversary around global connect yet conflict objectives world fast train
Everything Everywhere All at Once,80.0,"'Action', 'Adventure', 'Science Fiction'",age chinese immigrant sweep insane adventure alone save whats important connect live could lead universe
Disenchanted,71.0,"'Comedy', 'Family', 'Fantasy'",disillusion life city feel place suburbia frustrate happily ever hasn't easy find gazelle turn magic andalusia help accidentally transform entire town realize fairy tale place family future happiness jeopardy must race time reverse spell determine happily ever truly mean family
Babylon,78.0,"'Drama', 'Comedy'",tale outsized ambition outrageous excess trace rise fall multiple character era unbridled decadence depravity hollywood transition silent film sound film late
Polar,68.0,"'Action', 'Adventure', 'Thriller'",my policewoman expel corp due problem alcohol drug since loss son receive call man ask look macaroni geez popular to actress
Thor: Love and Thunder,67.0,"'Fantasy', 'Action', 'Comedy'",retirement interrupt gory god butcher galactic killer seek extinction god thor opinion enlist help king valkyrie org girlfriend jane foster wield mighty thor together embark upon harrow cosmic adventure uncover mystery god butcher vengeance stop late
Sonic the Hedgehog 2,76.0,"'Action', 'Adventure', 'Family', 'Comedy'",settle green hill sonic eager prove take true hero test come do robotic return time new partner knuckle search emerald power destroy civilization sonic team sidekick tail together embark journey find emerald fall wrong hand
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83.0,"'Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller'",tanker yamato join insure boy raise boar wear boar head zenith scar boy reveal true power sleep board infinity train new mission fire hashiri your defeat demon torment people kill demon slayer oppose
Jujutsu Kaisen 0,83.0,"'Animation', 'Action', 'Fantasy'",outa nervous high school student suffer serious problems childhood friend rita turn curse wont leave alone since rita ordinary curse plight notice story goo teacher jujitsu high school fledgling exorcist learn combat curse goo convince outa enroll learn enough time confront curse haunt
Dragon Ball Super: Super Hero,80.0,"'Animation', 'Science Fiction', 'Action'",red ribbon army evil organization destroy boku past reform group people create new mighty android gamma gamma seek vengeance boku family
Blade of the 47 Ronin,67.0,"'Action', 'Fantasy', 'Thriller'",sequel ronin new class warrior emerge among samurai clan keep sword fall wrong hand
"Lyle, Lyle, Crocodile",77.0,"'Comedy', 'Family', 'Music'",prime family move new york city young son josh struggle adapt new school new friend change discover lyle sing crocodile love bath caviar great music live attic new home lyle existence threaten evil neighbor my grump primus must band together show world family come unexpected place
Cop Secret,63.0,"'Comedy', 'Action', 'Thriller'",ssi iceland tough cop force work new partner solve series bank robbery pressure close case soon possible prove much
Sing 2,80.0,"'Animation', 'Adventure', 'Comedy', 'Family'",buster new cast sight set debut new show crystal tower theater glamorous restore city connection singer must sneak crystal entertainment office run ruthless wolf mogul jimmy crystal gang pitch ridiculous idea cast lion rock legend clay hallway show buster must embark quest find clay persuade return stage
Encanto,77.0,"'Animation', 'Comedy', 'Family', 'Fantasy'",tale extraordinary family madrigal live hide mountain colombia magical house vibrant town wondrous charm place call enchant magic enchant bless every child child except one miracle discover magic surround enchant danger miracle decide ordinary madrigal might exceptional family last hope
Beast,69.0,"'Thriller', 'Action', 'Adventure', 'Horror'",recently widow man two teenage daughter travel game reserve south africa however journey heal soon turn fight survival bloodthirsty lion start stalk
The Lair,57.0,"'Action', 'Horror'",royal air force pilot it kate sinclair final flight mission jet shoot one dangerous rebel stronghold afghanistan find refuge abandon underground bunker deadly manmade creature know ravages hungry human flesh awaken
Minions: The Rise of Gru,75.0,"'Animation', 'Comedy', 'Family'",fanboy supervillain know vicious grub hatch plan become evil enough join backup follower minion
The Menu,73.0,"'Comedy', 'Horror', 'Thriller'",young couple travel remote island eat exclusive restaurant chef prepare lavish menu shock surprise
Doctor Strange in the Multiverse of Madness,74.0,"'Fantasy', 'Action', 'Adventure'",doctor strange help mystical ally old new traverse dangerous alternate reality multiverse confront mysterious new adversary
Shark Bait,59.0,"'Horror', 'Thriller', 'Action', 'Adventure'",group friends enjoy weekend steal couple race sea end horrific head collision struggle find way home badly injure friend water predator lurk
All My Friends Hate Me,62.0,"'Comedy', 'Thriller', 'Horror'",genuine increasingly insecure pete cautiously excite reunite college crew birthday weekend memory party earnest connection picturesque english manor best lay plan dear audience
Dog Gone,65.0,"'Family', 'Adventure', 'Drama'",beloved dog go miss young man embark incredible search parent find give lifesaving medication
Paradise City,55.0,"'Action', 'Crime', 'Thriller'",renegade bounty hunter ryan swan must carve way hawaiian crime world wreak vengeance kingpin murder father
The Banshees of Inisherin,75.0,"'Drama', 'Comedy'",two lifelong friend find impasse one abruptly end relationship alarm consequence
Turning Red,75.0,"'Animation', 'Family', 'Comedy', 'Fantasy'",mei experience awkwardness teenager twist get excite transform giant red panda
Lost Bullet 2,66.0,"'Action', 'Drama', 'Thriller'",clear name genius mechanic lino one goal mind get revenge corrupt cop kill brother mentor
Fullmetal Alchemist: The Final Alchemy,64.0,"'Action', 'Adventure', 'Fantasy'",eric brother long wind journey come close epic finale must face unworldly nationwide threat
MexZombies,71.0,"'Horror', 'Action', 'Comedy'",group teenager must face zombie apocalypse help reestablish order
Blowback,62.0,"'Action', 'Thriller', 'Crime'",master thief sabotage bank heist leave dead seek revenge former crew one target time cop mob close he race life reclaim untold fortune cryptocurrency
Luck,79.0,"'Animation', 'Adventure', 'Comedy', 'Fantasy'",suddenly find land luck unluckiest person world must unite magical creature turn luck around
Emancipation,81.0,"'Action', 'Drama', 'Thriller'",inspire grip true story man would anything freedom peter enslave man risk life escape return family embark perilous journey love endurance
Enola Holmes 2,77.0,"'Mystery', 'Adventure', 'Comedy', 'Crime'",like infamous brother enola holmes take first official case find miss girl spark dangerous conspiracy ignite mystery require help friend sherlock unravel
Shrek,77.0,"'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family'",aint easy bein green especially your likable albeit smelly ogre name shrek mission retrieve gorgeous princess clutch dragon shrek team unlikely compatriot wisecrack donkey
The Guardians of the Galaxy Holiday Special,74.0,"'Comedy', 'Science Fiction', 'Adventure'",mission make christmas unforgettable quill guardian head earth search perfect present
Corrective Measures,53.0,"'Science Fiction', 'Action'",set san world dangerous penitentiary home world treacherous superpowered criminal tension among inmates staff heighten lead anarchy engulf prison order turn upside
Athena,67.0,"'Drama', 'Action', 'Thriller'",hour tragic death young brother unexplained circumstance three sibling live throw chaos
Pinocchio,66.0,"'Fantasy', 'Adventure', 'Family'",wooden puppet embark thrill adventure become real boy
Blue's Big City Adventure,76.0,"'Family', 'Adventure', 'Music', 'Animation'",josh get opportunity lifetime audition rainbow puppy broadway musical josh blue skidoo ny first time meet new friend discover magic music dance follow one dream
Diary of a Wimpy Kid: Rodrick Rules,68.0,"'Animation', 'Comedy', 'Family'",new school year brother roderick tease greg manage get along secret ruin everything
Slumberland,76.0,"'Family', 'Fantasy', 'Adventure', 'Drama'",young girl discover secret map dreamworks cumberland help eccentric outlaw traverse dream flee nightmare hope able see late father
Tom and Jerry Snowman's Land,74.0,"'Family', 'Comedy', 'Animation', 'Adventure'",time chase holiday spirit tom jerry magic air jerry nephew stuffy make snow mouse miraculously come life keep new friend larry snow mouse melt stuffy jerry must race fabled snowman village hot pursuit tom devious do plan larry magic
Uncharted,71.0,"'Action', 'Adventure'",young nathan drake wisecrack partner victor sully sullivan embark dangerous pursuit great treasure never find also track clue may lead nathan longest brother
Más respeto que soy tu madre,73.0,'Comedy',mirth best navigate social economic crisis pummel argentina eve it century shes get unemployed husband three kid drug addict look crisis promise boot family middle class mirth decide open pizzeria serve slice lot laugh extra drama
Alien Sniperess,39.0,"'Action', 'Science Fiction', 'Fantasy'",female sniper military leave promise fulfill francs die wish encounter hostile alien invasion task save countless live
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,78.0,"'Animation', 'Fantasy', 'Adventure'",corporate worker miami story stab random killer reborn alternate world turn reborn slime throw new world name ruuru begin quest create world thats welcome race
A Man Called Otto,74.0,"'Comedy', 'Drama'",otto grump who give life follow loss wife want end young family move nearby meet match marisol lead friendship turn world around
Hotel Transylvania: Transformania,71.0,"'Animation', 'Comedy', 'Family', 'Fantasy', 'Adventure'",van helpings mysterious invention ray go haywire draw monster pal transform human johnny become monster new mismatch body draw johnny must team race across globe find cure late drive crazy
"Tad, the Lost Explorer and the Emerald Tablet",78.0,"'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy'",tad accidentally unleash ancient spell endanger live friend mummy jeff belong everyone help sara set adventure end curse mummy
DC League of Super-Pets,74.0,"'Animation', 'Action', 'Family', 'Comedy', 'Science Fiction'",superman rest justice league kidnap crypto superior must convince ragtag shelter pack ace hound pub potbellied pig morton turtle chip squirrel master newfound power help rescue superheroes
Avengers: Infinity War,83.0,"'Adventure', 'Action', 'Science Fiction'",avenger ally continue protect world threat large one hero handle new danger emerge cosmic shadow thanos despot intergalactic infamy goal collect six infinity stone artifacts unimaginable power use inflict twist reality everything avenger fight lead moment fate earth existence never uncertain
The Quintessential Quintuplets Movie,87.0,"'Animation', 'Comedy', 'Romance'",five lovely young girl hate study hire wartime tutor futari guide education also hearts time spend bring closer feel grow within girl futari finish third year high school last school festival approach set sight whats next future one futari
Shrek 2,72.0,"'Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure', 'Romance'",shrek fiona donkey set far far away meet fiona mother father everyone happy shrek king find hard get along there tension marriage fairy godmother discover shrek marry fiona instead son prince charm set destroy marriage
The Soccer Football Movie,62.0,"'Animation', 'Comedy', 'Family'",mysterious green slime monster start pop soccer ball altar athlete latin megan raping must team four big fan stop evil scientist weird al steal talent
Hocus Pocus 2,75.0,"'Fantasy', 'Comedy', 'Family'",year since black flame candle last light century anderson sister resurrect look revenge three high school student stop ravenous witch wreak new kind havoc salem dawn hallow eve
Secret Headquarters,68.0,"'Science Fiction', 'Family', 'Action', 'Adventure'",hang school charlie friends discover headquarter world powerful superhero hide beneath home villain attack must team defend headquarter save world
The School for Good and Evil,72.0,"'Fantasy', 'Action', 'Drama'",best friend sophie agatha navigate enchant school young hero villain find oppose side battle good evil
My Hero Academia: World Heroes' Mission,76.0,"'Animation', 'Action', 'Adventure', 'Science Fiction'",mysterious group call humanize strongly believe quirk singularity doomsday theory state quirk get mix future generation power bring forth end humanity order save everyone around world ask ua academy assist form select hero team hero save world future hero dangerous crisis take place yet hero academia
Samaritan,68.0,"'Action', 'Drama', 'Science Fiction'",thirteen year old sam cleary suspect mysteriously reclusive neighbor my smith actually legendary vigilante samaritan report dead year ago crime rise city brink chaos sam make mission coax neighbor hide save city ruin
Harry Potter and the Philosopher's Stone,79.0,"'Adventure', 'Fantasy'",harry potter live stair aunt uncle house whole life the birthday learn he powerful place wait hogwarts school witchcraft wizardry learn harness newfound power help school kindly headmaster harry uncover truth parent villain who blame
The Ledge,61.0,"'Thriller', 'Adventure'",rock climb adventure two friend turn terrify nightmare kelly capture murder best friend camera become next target tight knit group friends stop nothing destroy evidence anyone way
Two Much for the Job,55.0,'Comedy',five year endure horrible work condition sophia finally get choose transfer thankless teach job rough middle school ecstatic start new life teach french lace barcelona hop dash bit well connect overqualified teacher upscale paris school cut take position determine stand grind sophia clever neighbour my picard join force sabotage competitor candidacy
Last Seen Alive,66.0,"'Action', 'Thriller'",spans wife suddenly vanish gas station desperate search find lead dark path force run authority take law hand
The Battle at Lake Changjin: Water Gate Bridge,70.0,"'War', 'History', 'Action', 'Drama'",follow battle lake changing brother wu qian wu want undertake new task people volunteer army defend bridge part american troop escape route advance chinese
Shang-Chi and the Legend of the Ten Rings,76.0,"'Action', 'Adventure', 'Fantasy'",shanghai must confront past think leave behind draw web mysterious ten ring organization
Memory,70.0,"'Action', 'Thriller', 'Crime'",alex find hes become target refuse complete job dangerous criminal organization crime syndicate fbi hot pursuit alex skill stay ahead except one thing struggle severe memory loss affect every move alex must question every action ultimately trust
Transformers: Rise of the Beasts,0.0,"'Action', 'Adventure', 'Science Fiction'",adventure introduce maximal predators exist battle earth autobots decepticons
Fantastic Beasts: The Secrets of Dumbledore,68.0,"'Fantasy', 'Adventure', 'Action'",professor albus dumbledore know powerful dark wizard gallery move seize control wizarding world unable stop alone entrust newt salamander lead intrepid team wizard witch soon encounter array old new beast clash grow legion follower
The Super Mario Bros. Movie,0.0,"'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy'",plumber name mario travel underground labyrinth brother luigi try save capture princess
Interstellar,84.0,"'Adventure', 'Drama', 'Science Fiction'",adventure group explorer make use newly discover wormhole surpass limitation human space travel conquer vast distance involve interstellar voyage
Project Wolf Hunting,67.0,"'Action', 'Thriller', 'Horror'",heavily arm guard dangerous convict aboard cargo ship unite coordinate escape attempt soon escalate bloody fallout riot fugitive continue brutal campaign terror soon discover even vicious among safe horror unknowingly unleash darkness deck
Lou,67.0,"'Action', 'Thriller', 'Drama'",young girl kidnap powerful storm mother join force mysterious neighbour set pursuit kidnapper journey test limit expose dark secret past
The Northman,71.0,"'Action', 'Adventure', 'Fantasy'",prince meth verge become man father brutally murder uncle kidnap boys mother two decade later meth viking who mission save mother kill uncle avenge father
The Lost City,67.0,"'Action', 'Adventure', 'Comedy'",reclusive author loretta sage write exotic place popular adventure novel feature handsome cover model name alan tour promote new book alan loretta get kidnap eccentric billionaire hop lead ancient city lose treasure feature late story alan determine prove hero real life page book set rescue
Triangle of Sadness,75.0,"'Comedy', 'Drama'",celebrity model couple invite luxury cruise helm unhinge captain first appear end catastrophically leave survivor strand desert island fight survival
RRR,77.0,"'Action', 'Drama'",fictional history two legendary revolutionary journey away home begin fight country
The Forbidden Legend: Sex & Chopsticks 2,53.0,"'Comedy', 'Drama', 'Romance'",rich powerful simon qing school way sex virile father still virgin meet first love violent fun father estate love last simon embark journey along way meet comely nun moon simon deflower marry become senator golden lotus marry dwarf wu along
Venom: Let There Be Carnage,69.0,"'Science Fiction', 'Action', 'Adventure'",find host body investigative reporter eddie brock alien symbiote must face new enemy carnage alter ego serial killer let's malady
Doraemon: Nobita's Little Star Wars 2021,55.0,"'Animation', 'Science Fiction', 'Adventure'",one day summer vacation alien name papi appear small rocket nobis pick president prima small planet outer space come earth escape rebel doraemon friends puzzle paris small size play together use secret tool small light gradually become friend however space battleship come earth attack doraemon nobis others order capture papi feel responsible get everyone involve papi try stand rebel doraemon friend leave planet prima protect dear friend home
Lightyear,72.0,"'Animation', 'Action', 'Adventure', 'Family', 'Science Fiction'",legendary space ranger buzz lighter embark intergalactic adventure alongside group ambitious recruit robot companion sox
Laid-Back Camp The Movie,77.0,"'Animation', 'Comedy'",favorite cozy camp anime return movie former member outdoors club get together time build campsite reunite rin chick aoi end gather around campfire good food good company
Harry Potter and the Half-Blood Prince,77.0,"'Adventure', 'Fantasy'",lord voldemort tighten grip muggle wizarding world hogwarts longer safe harry suspect peril may even lie within castle dumbledore intent upon prepare final battle fast approach together work find key unlock voldemort defenses end dumbledore recruit old friend colleague horace believe hold crucial information even decisive showdown loom romance blossom harry ron hermione classmate love air danger lie ahead hogwarts may never
Harry Potter and the Chamber of Secrets,77.0,"'Adventure', 'Fantasy'",car fly tree fight back mysterious house'll come warn harry potter start second year hogwarts adventure danger await bloody write wall announce chamber secret open save hogwarts require harry ron hermione magical ability courage
Overdose,65.0,"'Action', 'Crime', 'Thriller'",captain sara bellyache toulouse judiciary police branch investigate fast link murder two teenager investigation lead richard cross paris criminal brigade force collaborate order find murderer stop bloody fast sara richard throw breathless race clock road spain france
Zack Snyder's Justice League,82.0,"'Action', 'Adventure', 'Fantasy', 'Science Fiction'",determine ensure superman ultimate sacrifice vain bruce wayne align force diana prince plan recruit team metahumans protect world approach threat catastrophic proportion
Teasing Master Takagi-san: The Movie,86.0,"'Animation', 'Comedy', 'Romance'",takumi final year middle school anxiety hope future summer final year day summer vacation start two find kitten name hana decide take care kitten find mother
Harry Potter and the Prisoner of Azkaban,80.0,"'Adventure', 'Fantasy'",year three hogwarts mean new fun challenge harry learn delicate art approach transform shapeshifting boggarts hilarity even turn back time term also bring danger dementors hover school ally accuse lurk within castle wall fearsome wizard sirius black escape harry confront
Morbius,62.0,"'Action', 'Science Fiction', 'Fantasy'",dangerously ill rare blood disorder determine save others suffer fate do michael forbids attempt desperate gamble first appear radical success soon reveal remedy potentially bad disease
Harry Potter and the Goblet of Fire,78.0,"'Adventure', 'Fantasy', 'Family'",harry potter name emerge goblet fire become competitor grueling battle glory among three wizarding tournament since harry never submit name tournament harry must confront deadly dragon fierce water demon enchant maze find cruel grasp must name
Puss in Boots: The Three Diablos,66.0,"'Adventure', 'Animation', 'Comedy', 'Family'",puss boot mission recover princess steal ruby notorious french thief whisperer reluctantly accompany three little kitten three diablo pus must tame endanger mission
Alienoid,73.0,"'Science Fiction', 'Action', 'Fantasy', 'Adventure'",guru late gorge dynasty try obtain fabled holy sword humans hunt alien prisoner lock human body two party cross path portal open
"Monsters, Inc.",78.0,"'Animation', 'Comedy', 'Family'",jam sullivan mike monster earn live scar child best business even though there afraid child child accidentally enter world jam mike suddenly find kid afraid uncover conspiracy could threaten child across world
Plane,66.0,"'Action', 'Thriller'",heroic job successfully land aircraft war zone fearless pilot find agendas multiple militia plan take plane passenger hostage
Fullmetal Alchemist: The Revenge of Scar,68.0,"'Fantasy', 'Action', 'Adventure'",eric brother meet tough opponent yet lone serial killer large scar forehead
Code Name Banshee,53.0,"'Thriller', 'Action'",caleb former government assassin hide resurface prong equally deadly killer know banshee discover bounty place caleb head
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,84.0,"'Action', 'Animation', 'Fantasy'",find family slaughter lone survivor sister neuro yamato turn demon surprise however neuro still show sign human emotion think thus begin journey seek demon kill family turn sister human recap film keiretsu yabba cover episode extra footage
Shrek the Third,63.0,"'Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family'",king far far away die shrek fiona become king queen however shrek want return cozy swamp live peace quiet find another heir throne set bring back rule kingdom
Harry Potter and the Order of the Phoenix,77.0,"'Adventure', 'Fantasy', 'Mystery'",return fifth year study hogwarts harry stun find warn return lord voldemort ignore leave choice harry take matter hand train small group student defend dark art
The Ice Age Adventures of Buck Wild,67.0,"'Animation', 'Comedy', 'Adventure', 'Family'",fearless needed weasel buck team mischievous possum brother crash eddie head new adventure buck home dinosaur world
The Last of Us - No Escape,47.0,"'Action', 'Horror'",group survivor must fight live horde blood thirsty clickers
Mortal Kombat,71.0,"'Action', 'Fantasy', 'Adventure'",washed mma fighter cole young unaware heritage hunt emperor shang things best warrior subzero seek train earth great champion prepare stand enemy outward high stake battle universe
The Bad Guys,77.0,"'Animation', 'Action', 'Adventure', 'Crime', 'Comedy'",bad guy crew criminal animal finally catch year heist world justwanted villain my wolf broker deal save prison
The Boss Baby: Family Business,75.0,"'Animation', 'Comedy', 'Adventure', 'Family'",templeton brother tim boy baby little bro ted become adult drift away new boy baby approach cando attitude bring together inspire new family business
Harry Potter and the Deathly Hallows: Part 2,81.0,"'Fantasy', 'Adventure'",harry ron hermione continue quest vanquish evil voldemort thing begin look hopeless young wizard harry discover trio magical object endow power rival voldemort formidable skill
Black Panther,74.0,"'Action', 'Adventure', 'Science Fiction'",king calla return home reclusive technologically advance african nation amanda serve country new leader however calla soon find challenge throne faction within country well without use power reserve wakandans king calla assume black panther mantle join girlfriend naka sister member dora mile wakandans special force american secret agent prevent amanda drag world war
Coco,82.0,"'Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure'",despite family baffle ban music miguel dream become accomplish musician like idol ernesto de la cruz desperate prove talent miguel find stun colorful land dead follow mysterious chain event along way meet charm trickster hector together set extraordinary journey unlock real story behind miguel family history
Avengers: Endgame,83.0,"'Adventure', 'Science Fiction', 'Action'",devastate event avenger infinity war universe ruin due effort mad titan thanos help remain ally avenger must assemble order undo thanos action restore order universe matter consequence may store
Dragon Knight,70.0,"'Fantasy', 'Adventure', 'Action'",many year war lose dragon slay lone knight travel land agents seek raise army demon lord abandon healer vision reveal one dragon still live together eager young squire knight set search fabled creature army abandon descend human kingdom dragon last hope fend horde lay waste land men creature even exist fight
Bromates,53.0,'Comedy',longtime best friend sid onesie dump respective girlfriend without live situation decide become promote bros roommates put relationship ultimate test
A Night at the Kindergarten,61.0,'Comedy',young man crash school play rehearsal prevent group teacher eccentric parent expel girlfriends son
Seoul Vibe,68.0,"'Action', 'Crime', 'Comedy', 'Adventure'",chase speed dream money team driver get involve slush fund investigation powerful figure seoul olympics
Cruella,81.0,"'Comedy', 'Crime'",london amidst punk rock revolution young grifter name estella determine make name design befriend pair young thieve appreciate appetite mischief together able build life london street one day estella flair fashion catch eye baroness von bellman fashion legend devastatingly chic terrifyingly haute relationship set motion course event revelation cause estella embrace wicked side become raucous fashionable cruella
